# country	date	holiday
BR	2020-11-15	holiday
BR	2020-12-25	holiday
BR	2021-01-01	holiday
BR	2021-04-02	holiday
BR	2021-04-21	holiday
BR	2021-05-01	holiday
BR	2021-09-07	holiday
BR	2021-10-12	holiday
BR	2021-11-02	holiday
BR	2021-11-15	holiday
BR	2021-12-25	holiday
BR	2022-01-01	holiday
BR	2022-04-15	holiday
BR	2022-04-21	holiday
BR	2022-05-01	holiday
BR	2022-09-07	holiday
BR	2022-10-12	holiday
BR	2022-11-02	holiday
BR	2022-11-15	holiday
BR	2022-12-25	holiday
BR	2023-01-01	holiday
BR	2023-04-07	holiday
BR	2023-04-21	holiday
BR	2023-05-01	holiday
BR	2023-09-07	holiday
BR	2023-10-12	holiday
BR	2023-11-02	holiday
BR	2023-11-15	holiday
BR	2023-12-25	holiday
BR	2024-01-01	holiday
BR	2024-03-29	holiday
BR	2024-04-21	holiday
BR	2024-05-01	holiday
BR	2024-09-07	holiday
BR	2024-10-12	holiday
BR	2024-11-02	holiday
BR	2024-11-15	holiday
BR	2024-12-25	holiday
BR	2025-01-01	holiday
BR	2025-04-18	holiday
BR	2025-04-21	holiday
BR	2025-05-01	holiday
BR	2025-09-07	holiday
BR	2025-10-12	holiday
BR	2025-11-02	holiday
BR	2025-11-15	holiday
BR	2025-12-25	holiday
BR	2026-01-01	holiday
BR	2026-04-03	holiday
BR	2026-04-21	holiday
BR	2026-05-01	holiday
BR	2026-09-07	holiday
BR	2026-10-12	holiday
BR	2026-11-02	holiday
BR	2026-11-15	holiday
BR	2026-12-25	holiday
BR	2027-01-01	holiday
BR	2027-03-26	holiday
BR	2027-04-21	holiday
BR	2027-05-01	holiday
BR	2027-09-07	holiday
BR	2027-10-12	holiday
BR	2027-11-02	holiday
BR	2027-11-15	holiday
BR	2027-12-25	holiday
BR	2028-01-01	holiday
BR	2028-04-14	holiday
BR	2028-04-21	holiday
BR	2028-05-01	holiday
BR	2028-09-07	holiday
BR	2028-10-12	holiday
BR	2028-11-02	holiday
BR	2028-11-15	holiday
BR	2028-12-25	holiday
BR	2029-01-01	holiday
BR	2029-03-30	holiday
BR	2029-04-21	holiday
BR	2029-05-01	holiday
BR	2029-09-07	holiday
BR	2029-10-12	holiday
BR	2029-11-02	holiday
BR	2029-11-15	holiday
BR	2029-12-25	holiday
BR	2030-01-01	holiday
BR	2030-04-19	holiday
BR	2030-04-21	holiday
BR	2030-05-01	holiday
BR	2030-09-07	holiday
BR	2030-10-12	holiday
BR	2030-11-02	holiday
BR	2030-11-15	holiday
BR	2030-12-25	holiday
BR	2031-01-01	holiday
BR	2031-04-11	holiday
BR	2031-04-21	holiday
BR	2031-05-01	holiday
